name,screen_name,type,priority
15x4 Kyiv 2.12 Клетки Прокрастинация Сон Микробы,15x4_kyiv_02_12,event,213
43 Band на благодійному рок-фестивалі #Rockhope,club140130551,event,214
"4 способа откладывать на сейчас, а не на завтра",training12,event,215
"Вечір української культури""Вечорниці""",club54464033,event,216
"""OST"" #літВежа vol. 5",litveza_ost,event,217
Global Citizen. DreamUP 4.0,club109055525,event,218
AIESEC Kyiv Halloween House Party 31/10,halloween_house_party,event,219
Научно-популярный лекторий 15x4 Киев 28.10,15x4talks_kiev_28_10,event,220
The SandStones - Route66 - 12.02.2014 - 21:00,club64314391,event,221
Человек - физтех,club71742491,group,222
Мастер-класс от Макса Щербакова тренера Спарты!,club99029228,event,223
Gadgetinity,gadgetinity,group,224
Киев 15х4 11.11 Нейропротез Марс Нефть Порно,15x4talks_kiev_11_11,event,225
"Тренінг ""Як організувати проект вартістю 1 млн.""",club45348014,event,226
C.P.I.: Running Club,c.p.i.runningclub,group,227
"Акустичний концерт в ""Piano Cafe""",club101513049,event,228
Мовна ситуація: годі говорити - як діяти?,club109575556,event,229
Философия свободы,freedom_philosophy,page,230
Встретим Пасху вместе 6.05.2013=),club51638263,event,231
15x4 Kyiv 13.01 ЗОЖ Депрессия Болезни Вакцинация,15x4talks_kyiv_13,event,232
Киев 15х4 09.12 Бессмертие Эволюция $€ Сознание,15x4talks_kiev_09_12,event,233
Велопрогулки,velohills,group,234
&gt;&gt;&gt; ФФ-01 &lt;&lt;&lt;,club22201923,group,235
"Молекулярная физиология, биология и генетика.",club78421735,group,236
15x4: Gender Talks 22.02,15x4talks_kyiv_22,event,237
Dynamical Neuroscience,aacimp_camp,event,238
Киев 15х4 23.12 Абиогенез Кванты Биоэтика Лекции,15x4talks_kiev_23,event,239
"Folders. Концерт на ""ВДНХ""",club55857645,event,240
15x4 Kyiv 12.02 Термояд Открытия Шизофрения Гомо,15x4talks_kyiv_12,event,241
15x4Kyiv 27.01 Цивилизации Экономика Стат Дисней,15x4talks_kyiv_27,event,242
11 Июля в субботу С.P.I Running Club 7.0,club97624735,event,243
15я пробежка C.P.I Running Club,club101399197,event,244
Чего тебе не сказали про принцип 20\80?,club68361526,event,245
СТФ КПИ,club43177351,group,246
ВелоДень+ВелоХрень!,club122079177,event,247
Киев 15х4 25.11 БАК Гомеопатия Космос Гормоны,15x4talks_kiev_25_11,event,248
Cosmos Endeavours,cosmos_endeavours,group,249
Python/Django courses,python.django.courses,group,250
InvestTech,investtech,group,251
Großglockner-Hochalpenstraße,club107961640,page,252
C.P.I. Running Club 13.0,club100926066,event,253
Цікаво та весело організовуємо свій відпочинок:),club53326907,group,254
Вебинар: Работа со стартапами &amp; Лидогенерация,club127068526,event,255
ВЕЛОтур по Карпатах,club97573893,event,256
КОРАБЕЛЬ ЩО УПЛИВ,watership,event,257
Байдарки-открытие сезона,club95977232,event,258
Ivan Susanin - клуб для ботанов английского,club30875008,group,259
Пикник ФФ-01 на природе!,picnic_ff_01,event,260
DiplomaHardPicnic,diplomahardpicnic,event,261
Вело - аксессуары | Украина,velo_akss,group,262
Байдарки. Новые горизонты,club96235122,event,263
Байдарки на воскресенье!,club72904511,event,264
Каяки/байдарки на выходных,club72139776,event,265
Праздник уходящего лета!,club75578027,event,266
К Шкабаре на день Учителя,a.s.shkabara,event,267
Roller-skating,club40013082,event,268
Винница  18.10.2014,club78373841,event,269
Пикник на природе v2.0,club70681889,event,270
